Product,Quantity Ordered,Price Each,Month,Hour,Day,City,Revenue
Google Phone,1.0,600.0,2,18,Friday,San Francisco,600.0
USB-C Charging Cable,1.0,11.95,2,18,Friday,San Francisco,11.95
Macbook Pro Laptop,1.0,1700.0,2,11,Friday,San Francisco,1700.0
27in FHD Monitor,1.0,149.99,2,10,Wednesday,Boston,149.99
iPhone,1.0,700.0,2,13,Wednesday,Boston,700.0
Lightning Charging Cable,1.0,14.95,2,13,Wednesday,Boston,14.95
AAA Batteries (4-pack),1.0,2.99,2,21,Thursday,San Francisco,2.99
USB-C Charging Cable,1.0,11.95,2,12,Monday,New York City,11.95
AAA Batteries (4-pack),2.0,2.99,2,19,Friday,Seattle,5.98
AA Batteries (4-pack),1.0,3.84,2,10,Sunday,Boston,3.84
Wired Headphones,1.0,11.99,2,19,Saturday,Dallas,11.99
Lightning Charging Cable,1.0,14.95,2,12,Sunday,San Francisco,14.95
ThinkPad Laptop,1.0,999.99,2,11,Wednesday,New York City,999.99
AAA Batteries (4-pack),1.0,2.99,2,6,Sunday,San Francisco,2.99
Lightning Charging Cable,1.0,14.95,2,8,Tuesday,New York City,14.95
Google Phone,1.0,600.0,2,0,Sunday,San Francisco,600.0
AAA Batteries (4-pack),1.0,2.99,2,14,Wednesday,Portland,2.99
USB-C Charging Cable,1.0,11.95,2,18,Wednesday,San Francisco,11.95
Apple Airpods Headphones,1.0,150.0,2,17,Friday,San Francisco,150.0
Lightning Charging Cable,1.0,14.95,2,21,Sunday,San Francisco,14.95
Apple Airpods Headphones,1.0,150.0,2,12,Saturday,San Francisco,150.0
USB-C Charging Cable,1.0,11.95,2,8,Saturday,San Francisco,11.95
AAA Batteries (4-pack),1.0,2.99,2,12,Wednesday,San Francisco,2.99
27in 4K Gaming Monitor,1.0,389.99,2,9,Tuesday,New York City,389.99
AAA Batteries (4-pack),2.0,2.99,2,8,Monday,Portland,5.98
AA Batteries (4-pack),1.0,3.84,2,1,Tuesday,Los Angeles,3.84
USB-C Charging Cable,2.0,11.95,2,12,Friday,Boston,23.9
USB-C Charging Cable,1.0,11.95,2,14,Thursday,San Francisco,11.95
USB-C Charging Cable,1.0,11.95,2,7,Tuesday,Boston,11.95
20in Monitor,1.0,109.99,2,12,Monday,Atlanta,109.99
Lightning Charging Cable,2.0,14.95,2,16,Thursday,Los Angeles,29.9
Apple Airpods Headphones,1.0,150.0,2,8,Sunday,Austin,150.0
USB-C Charging Cable,1.0,11.95,2,8,Monday,Portland,11.95
Apple Airpods Headphones,1.0,150.0,2,14,Friday,San Francisco,150.0
AA Batteries (4-pack),3.0,3.84,2,18,Tuesday,Boston,11.52
Macbook Pro Laptop,1.0,1700.0,2,20,Monday,Dallas,1700.0
AA Batteries (4-pack),1.0,3.84,2,10,Thursday,Boston,3.84
AAA Batteries (4-pack),1.0,2.99,2,20,Monday,Seattle,2.99
AA Batteries (4-pack),1.0,3.84,2,13,Saturday,Portland,3.84
Wired Headphones,1.0,11.99,2,13,Saturday,Portland,11.99
AAA Batteries (4-pack),3.0,2.99,2,8,Saturday,San Francisco,8.97
27in FHD Monitor,1.0,149.99,2,21,Monday,Los Angeles,149.99
Google Phone,1.0,600.0,2,20,Wednesday,Seattle,600.0
Wired Headphones,1.0,11.99,2,1,Friday,Portland,11.99
Wired Headphones,1.0,11.99,2,20,Thursday,San Francisco,11.99
Macbook Pro Laptop,1.0,1700.0,2,16,Friday,San Francisco,1700.0
Bose SoundSport Headphones,1.0,99.99,2,22,Wednesday,Los Angeles,99.99
Bose SoundSport Headphones,1.0,99.99,2,21,Sunday,New York City,99.99
USB-C Charging Cable,1.0,11.95,2,22,Thursday,New York City,11.95
AA Batteries (4-pack),1.0,3.84,2,19,Monday,Boston,3.84
27in FHD Monitor,1.0,149.99,2,20,Tuesday,Los Angeles,149.99
USB-C Charging Cable,1.0,11.95,2,23,Tuesday,Los Angeles,11.95
Google Phone,1.0,600.0,2,10,Monday,Seattle,600.0
Macbook Pro Laptop,1.0,1700.0,2,15,Wednesday,New York City,1700.0
Bose SoundSport Headphones,1.0,99.99,2,20,Tuesday,San Francisco,99.99
Lightning Charging Cable,1.0,14.95,2,1,Thursday,Seattle,14.95
Apple Airpods Headphones,1.0,150.0,2,9,Thursday,Portland,150.0
Google Phone,1.0,600.0,2,12,Wednesday,New York City,600.0
Apple Airpods Headphones,1.0,150.0,2,12,Wednesday,Los Angeles,150.0
Wired Headphones,2.0,11.99,2,15,Tuesday,Los Angeles,23.98
AAA Batteries (4-pack),3.0,2.99,2,23,Monday,Los Angeles,8.97
AA Batteries (4-pack),1.0,3.84,2,23,Sunday,San Francisco,3.84
Apple Airpods Headphones,1.0,150.0,2,21,Sunday,San Francisco,150.0
Flatscreen TV,1.0,300.0,2,21,Friday,Dallas,300.0
Apple Airpods Headphones,1.0,150.0,2,13,Thursday,Boston,150.0
iPhone,1.0,700.0,2,9,Tuesday,Boston,700.0
AA Batteries (4-pack),1.0,3.84,2,12,Tuesday,San Francisco,3.84
Google Phone,1.0,600.0,2,18,Monday,Portland,600.0
Bose SoundSport Headphones,1.0,99.99,2,18,Monday,Portland,99.99
Lightning Charging Cable,1.0,14.95,2,15,Wednesday,Seattle,14.95
34in Ultrawide Monitor,1.0,379.99,2,21,Friday,San Francisco,379.99
AA Batteries (4-pack),3.0,3.84,2,19,Friday,Boston,11.52
20in Monitor,1.0,109.99,2,20,Friday,Los Angeles,109.99
Bose SoundSport Headphones,1.0,99.99,2,16,Sunday,Atlanta,99.99
USB-C Charging Cable,1.0,11.95,2,14,Sunday,Los Angeles,11.95
USB-C Charging Cable,1.0,11.95,2,15,Wednesday,New York City,11.95
Wired Headphones,1.0,11.99,2,23,Wednesday,San Francisco,11.99
AAA Batteries (4-pack),1.0,2.99,2,19,Saturday,San Francisco,2.99
34in Ultrawide Monitor,1.0,379.99,2,15,Wednesday,Seattle,379.99
USB-C Charging Cable,1.0,11.95,2,10,Thursday,San Francisco,11.95
AAA Batteries (4-pack),3.0,2.99,2,12,Sunday,Atlanta,8.97
Google Phone,1.0,600.0,2,12,Sunday,Atlanta,600.0
AAA Batteries (4-pack),1.0,2.99,2,17,Wednesday,Los Angeles,2.99
34in Ultrawide Monitor,1.0,379.99,2,1,Friday,Atlanta,379.99
AAA Batteries (4-pack),1.0,2.99,2,20,Thursday,Portland,2.99
Lightning Charging Cable,1.0,14.95,2,11,Saturday,San Francisco,14.95
27in 4K Gaming Monitor,1.0,389.99,2,7,Friday,New York City,389.99
20in Monitor,1.0,109.99,2,14,Friday,San Francisco,109.99
USB-C Charging Cable,1.0,11.95,2,12,Sunday,Portland,11.95
Wired Headphones,1.0,11.99,2,11,Tuesday,San Francisco,11.99
AAA Batteries (4-pack),1.0,2.99,2,16,Monday,Los Angeles,2.99
Bose SoundSport Headphones,1.0,99.99,2,13,Saturday,Boston,99.99
Lightning Charging Cable,1.0,14.95,2,16,Friday,New York City,14.95
iPhone,1.0,700.0,2,20,Thursday,San Francisco,700.0
AAA Batteries (4-pack),1.0,2.99,2,9,Sunday,San Francisco,2.99
Wired Headphones,1.0,11.99,2,11,Monday,San Francisco,11.99
USB-C Charging Cable,1.0,11.95,2,12,Tuesday,San Francisco,11.95
USB-C Charging Cable,1.0,11.95,2,8,Monday,Dallas,11.95
Lightning Charging Cable,1.0,14.95,2,14,Saturday,Atlanta,14.95
Flatscreen TV,1.0,300.0,2,0,Monday,San Francisco,300.0
Lightning Charging Cable,1.0,14.95,2,8,Wednesday,Los Angeles,14.95
27in FHD Monitor,1.0,149.99,2,18,Saturday,Dallas,149.99
27in FHD Monitor,1.0,149.99,2,19,Wednesday,Los Angeles,149.99
LG Dryer,1.0,600.0,2,12,Tuesday,San Francisco,600.0
USB-C Charging Cable,1.0,11.95,2,8,Friday,Austin,11.95
27in 4K Gaming Monitor,1.0,389.99,2,7,Thursday,Dallas,389.99
USB-C Charging Cable,1.0,11.95,2,15,Tuesday,New York City,11.95
USB-C Charging Cable,2.0,11.95,2,16,Friday,San Francisco,23.9
Lightning Charging Cable,1.0,14.95,2,9,Saturday,Dallas,14.95
AA Batteries (4-pack),2.0,3.84,2,14,Thursday,New York City,7.68
Bose SoundSport Headphones,1.0,99.99,2,17,Friday,New York City,99.99
AA Batteries (4-pack),2.0,3.84,2,17,Tuesday,Portland,7.68
AA Batteries (4-pack),2.0,3.84,2,7,Saturday,San Francisco,7.68
AAA Batteries (4-pack),1.0,2.99,2,23,Saturday,Boston,2.99
iPhone,1.0,700.0,2,17,Saturday,Los Angeles,700.0
Bose SoundSport Headphones,1.0,99.99,2,16,Wednesday,San Francisco,99.99
Apple Airpods Headphones,1.0,150.0,2,19,Friday,Boston,150.0
Apple Airpods Headphones,1.0,150.0,2,10,Saturday,Seattle,150.0
Lightning Charging Cable,2.0,14.95,2,23,Wednesday,San Francisco,29.9
Lightning Charging Cable,1.0,14.95,2,10,Thursday,New York City,14.95
Wired Headphones,1.0,11.99,2,10,Thursday,Atlanta,11.99
Bose SoundSport Headphones,1.0,99.99,2,20,Thursday,New York City,99.99
20in Monitor,1.0,109.99,2,16,Thursday,San Francisco,109.99
AAA Batteries (4-pack),1.0,2.99,2,7,Monday,San Francisco,2.99
USB-C Charging Cable,1.0,11.95,2,13,Monday,Boston,11.95
Bose SoundSport Headphones,1.0,99.99,2,10,Wednesday,Atlanta,99.99
AA Batteries (4-pack),2.0,3.84,2,13,Saturday,Atlanta,7.68
AAA Batteries (4-pack),1.0,2.99,2,0,Wednesday,San Francisco,2.99
USB-C Charging Cable,1.0,11.95,2,20,Saturday,Boston,11.95
AA Batteries (4-pack),1.0,3.84,2,20,Thursday,Dallas,3.84
ThinkPad Laptop,1.0,999.99,2,15,Thursday,Los Angeles,999.99
iPhone,1.0,700.0,2,11,Monday,Seattle,700.0
USB-C Charging Cable,1.0,11.95,2,0,Tuesday,Atlanta,11.95
Bose SoundSport Headphones,1.0,99.99,2,11,Monday,Seattle,99.99
Lightning Charging Cable,1.0,14.95,2,23,Tuesday,Seattle,14.95
20in Monitor,1.0,109.99,2,11,Thursday,New York City,109.99
Apple Airpods Headphones,1.0,150.0,2,10,Tuesday,San Francisco,150.0
USB-C Charging Cable,1.0,11.95,2,18,Saturday,Los Angeles,11.95
Apple Airpods Headphones,1.0,150.0,2,8,Sunday,Dallas,150.0
27in 4K Gaming Monitor,1.0,389.99,2,17,Wednesday,New York City,389.99
AA Batteries (4-pack),1.0,3.84,2,21,Sunday,San Francisco,3.84
Wired Headphones,1.0,11.99,2,9,Sunday,New York City,11.99
AA Batteries (4-pack),1.0,3.84,2,19,Monday,Los Angeles,3.84
AAA Batteries (4-pack),1.0,2.99,2,7,Monday,New York City,2.99
AAA Batteries (4-pack),1.0,2.99,2,21,Saturday,Los Angeles,2.99
Apple Airpods Headphones,1.0,150.0,2,13,Wednesday,Los Angeles,150.0
Google Phone,1.0,600.0,2,6,Monday,Portland,600.0
Lightning Charging Cable,1.0,14.95,2,3,Sunday,Boston,14.95
Bose SoundSport Headphones,1.0,99.99,2,22,Wednesday,San Francisco,99.99
Lightning Charging Cable,1.0,14.95,2,15,Monday,Dallas,14.95
Lightning Charging Cable,1.0,14.95,2,13,Tuesday,Los Angeles,14.95
AAA Batteries (4-pack),1.0,2.99,2,18,Monday,Boston,2.99
27in 4K Gaming Monitor,1.0,389.99,2,18,Monday,Boston,389.99
Apple Airpods Headphones,1.0,150.0,2,21,Sunday,San Francisco,150.0
USB-C Charging Cable,1.0,11.95,2,14,Monday,Seattle,11.95
Apple Airpods Headphones,1.0,150.0,2,20,Saturday,Los Angeles,150.0
AAA Batteries (4-pack),2.0,2.99,2,16,Saturday,Austin,5.98
AA Batteries (4-pack),1.0,3.84,2,16,Sunday,Seattle,3.84
Wired Headphones,2.0,11.99,2,15,Monday,San Francisco,23.98
Bose SoundSport Headphones,1.0,99.99,2,23,Friday,Boston,99.99
USB-C Charging Cable,1.0,11.95,2,14,Thursday,New York City,11.95
USB-C Charging Cable,1.0,11.95,2,22,Sunday,New York City,11.95
Lightning Charging Cable,1.0,14.95,2,19,Wednesday,San Francisco,14.95
Wired Headphones,1.0,11.99,2,18,Saturday,New York City,11.99
27in 4K Gaming Monitor,1.0,389.99,2,20,Friday,San Francisco,389.99
Lightning Charging Cable,1.0,14.95,2,10,Thursday,Los Angeles,14.95
Apple Airpods Headphones,1.0,150.0,2,21,Sunday,Austin,150.0
AAA Batteries (4-pack),1.0,2.99,2,20,Saturday,Boston,2.99
Bose SoundSport Headphones,1.0,99.99,2,10,Sunday,Portland,99.99
USB-C Charging Cable,1.0,11.95,2,0,Sunday,Portland,11.95
Macbook Pro Laptop,1.0,1700.0,2,23,Friday,Los Angeles,1700.0
20in Monitor,1.0,109.99,2,0,Thursday,Boston,109.99
Lightning Charging Cable,1.0,14.95,2,21,Thursday,San Francisco,14.95
Lightning Charging Cable,1.0,14.95,2,9,Friday,Austin,14.95
Bose SoundSport Headphones,1.0,99.99,2,12,Friday,New York City,99.99
AAA Batteries (4-pack),2.0,2.99,2,19,Sunday,Austin,5.98
AA Batteries (4-pack),1.0,3.84,2,19,Tuesday,Dallas,3.84
Bose SoundSport Headphones,1.0,99.99,2,19,Tuesday,San Francisco,99.99
27in 4K Gaming Monitor,1.0,389.99,2,18,Thursday,New York City,389.99
27in FHD Monitor,1.0,149.99,2,23,Wednesday,San Francisco,149.99
Wired Headphones,1.0,11.99,2,10,Friday,Los Angeles,11.99
Wired Headphones,1.0,11.99,2,17,Friday,San Francisco,11.99
Google Phone,1.0,600.0,2,12,Wednesday,San Francisco,600.0
USB-C Charging Cable,1.0,11.95,2,12,Wednesday,San Francisco,11.95
Bose SoundSport Headphones,1.0,99.99,2,12,Wednesday,San Francisco,99.99
USB-C Charging Cable,1.0,11.95,2,18,Friday,San Francisco,11.95
AA Batteries (4-pack),1.0,3.84,2,16,Friday,Seattle,3.84
USB-C Charging Cable,1.0,11.95,2,13,Thursday,Boston,11.95
Wired Headphones,1.0,11.99,2,18,Sunday,Austin,11.99
AAA Batteries (4-pack),2.0,2.99,2,17,Monday,San Francisco,5.98
AA Batteries (4-pack),1.0,3.84,2,16,Thursday,Dallas,3.84
Wired Headphones,1.0,11.99,2,11,Sunday,Atlanta,11.99
USB-C Charging Cable,1.0,11.95,2,11,Monday,Atlanta,11.95
Apple Airpods Headphones,1.0,150.0,2,12,Wednesday,San Francisco,150.0
AA Batteries (4-pack),2.0,3.84,2,16,Sunday,Dallas,7.68
AAA Batteries (4-pack),1.0,2.99,2,16,Friday,New York City,2.99
27in 4K Gaming Monitor,1.0,389.99,2,21,Monday,Seattle,389.99
iPhone,1.0,700.0,2,13,Tuesday,Portland,700.0
Lightning Charging Cable,1.0,14.95,2,13,Tuesday,Portland,14.95
AA Batteries (4-pack),1.0,3.84,2,14,Sunday,San Francisco,3.84
Apple Airpods Headphones,1.0,150.0,2,16,Monday,Seattle,150.0
Apple Airpods Headphones,1.0,150.0,2,17,Friday,New York City,150.0
Bose SoundSport Headphones,1.0,99.99,2,21,Sunday,New York City,99.99
Wired Headphones,2.0,11.99,2,8,Saturday,San Francisco,23.98
AAA Batteries (4-pack),1.0,2.99,2,22,Monday,San Francisco,2.99
USB-C Charging Cable,1.0,11.95,2,7,Monday,San Francisco,11.95
AA Batteries (4-pack),2.0,3.84,2,13,Wednesday,Atlanta,7.68
Wired Headphones,1.0,11.99,2,10,Tuesday,San Francisco,11.99
Vareebadd Phone,1.0,400.0,2,19,Tuesday,Los Angeles,400.0
Wired Headphones,1.0,11.99,2,19,Tuesday,Los Angeles,11.99
Wired Headphones,1.0,11.99,2,10,Friday,New York City,11.99
Apple Airpods Headphones,1.0,150.0,2,13,Friday,Portland,150.0
20in Monitor,1.0,109.99,2,12,Wednesday,Seattle,109.99
USB-C Charging Cable,1.0,11.95,2,19,Saturday,New York City,11.95
27in FHD Monitor,1.0,149.99,2,8,Tuesday,Seattle,149.99
USB-C Charging Cable,1.0,11.95,2,17,Monday,Boston,11.95
Wired Headphones,1.0,11.99,2,20,Tuesday,Portland,11.99
Lightning Charging Cable,1.0,14.95,2,13,Saturday,Seattle,14.95
AA Batteries (4-pack),2.0,3.84,2,21,Thursday,New York City,7.68
Google Phone,1.0,600.0,2,10,Thursday,San Francisco,600.0
Wired Headphones,1.0,11.99,2,10,Thursday,San Francisco,11.99
USB-C Charging Cable,1.0,11.95,2,20,Monday,New York City,11.95
USB-C Charging Cable,1.0,11.95,2,11,Sunday,Los Angeles,11.95
Bose SoundSport Headphones,1.0,99.99,2,12,Sunday,Austin,99.99
Lightning Charging Cable,1.0,14.95,2,8,Wednesday,New York City,14.95
Lightning Charging Cable,1.0,14.95,2,14,Saturday,Atlanta,14.95
AAA Batteries (4-pack),2.0,2.99,2,4,Wednesday,San Francisco,5.98
AAA Batteries (4-pack),1.0,2.99,2,22,Tuesday,New York City,2.99
Wired Headphones,1.0,11.99,2,21,Thursday,San Francisco,11.99
USB-C Charging Cable,2.0,11.95,2,13,Wednesday,San Francisco,23.9
ThinkPad Laptop,1.0,999.99,2,12,Friday,Seattle,999.99
Lightning Charging Cable,1.0,14.95,2,15,Sunday,Portland,14.95
AA Batteries (4-pack),1.0,3.84,2,21,Monday,New York City,3.84
Google Phone,1.0,600.0,2,5,Sunday,San Francisco,600.0
Wired Headphones,1.0,11.99,2,5,Sunday,San Francisco,11.99
AA Batteries (4-pack),2.0,3.84,2,1,Sunday,Los Angeles,7.68
Wired Headphones,1.0,11.99,2,18,Friday,San Francisco,11.99
iPhone,1.0,700.0,2,18,Saturday,San Francisco,700.0
AAA Batteries (4-pack),2.0,2.99,2,18,Wednesday,San Francisco,5.98
Bose SoundSport Headphones,1.0,99.99,2,11,Friday,San Francisco,99.99
LG Dryer,1.0,600.0,2,14,Friday,New York City,600.0
Lightning Charging Cable,2.0,14.95,2,10,Sunday,Seattle,29.9
AAA Batteries (4-pack),1.0,2.99,2,21,Wednesday,San Francisco,2.99
USB-C Charging Cable,1.0,11.95,2,11,Thursday,Seattle,11.95
Apple Airpods Headphones,1.0,150.0,2,17,Wednesday,San Francisco,150.0
Lightning Charging Cable,1.0,14.95,2,10,Tuesday,San Francisco,14.95
Flatscreen TV,1.0,300.0,2,2,Thursday,Los Angeles,300.0
ThinkPad Laptop,1.0,999.99,2,14,Wednesday,Los Angeles,999.99
Wired Headphones,1.0,11.99,2,14,Wednesday,Los Angeles,11.99
AA Batteries (4-pack),1.0,3.84,2,23,Friday,Atlanta,3.84
Apple Airpods Headphones,1.0,150.0,2,20,Wednesday,San Francisco,150.0
Bose SoundSport Headphones,1.0,99.99,2,12,Thursday,Boston,99.99
USB-C Charging Cable,1.0,11.95,2,20,Wednesday,San Francisco,11.95
AA Batteries (4-pack),1.0,3.84,2,19,Monday,Atlanta,3.84
AA Batteries (4-pack),1.0,3.84,2,10,Thursday,San Francisco,3.84
AAA Batteries (4-pack),2.0,2.99,2,10,Wednesday,New York City,5.98
Bose SoundSport Headphones,1.0,99.99,2,12,Thursday,San Francisco,99.99
AA Batteries (4-pack),1.0,3.84,2,9,Monday,Austin,3.84
Bose SoundSport Headphones,1.0,99.99,2,11,Monday,New York City,99.99
Apple Airpods Headphones,1.0,150.0,2,17,Tuesday,Dallas,150.0
AAA Batteries (4-pack),1.0,2.99,2,19,Monday,New York City,2.99
Wired Headphones,2.0,11.99,2,14,Tuesday,Dallas,23.98
iPhone,1.0,700.0,2,7,Sunday,San Francisco,700.0
27in 4K Gaming Monitor,1.0,389.99,2,20,Monday,Los Angeles,389.99
Google Phone,1.0,600.0,2,21,Sunday,Los Angeles,600.0
USB-C Charging Cable,1.0,11.95,2,21,Friday,New York City,11.95
Bose SoundSport Headphones,1.0,99.99,2,13,Thursday,Los Angeles,99.99
Lightning Charging Cable,1.0,14.95,2,2,Saturday,Portland,14.95
USB-C Charging Cable,1.0,11.95,2,14,Thursday,Seattle,11.95
USB-C Charging Cable,1.0,11.95,2,10,Sunday,Los Angeles,11.95
USB-C Charging Cable,1.0,11.95,2,17,Tuesday,Atlanta,11.95
AA Batteries (4-pack),1.0,3.84,2,10,Monday,San Francisco,3.84
Wired Headphones,1.0,11.99,2,22,Sunday,Seattle,11.99
27in FHD Monitor,1.0,149.99,2,20,Saturday,Boston,149.99
Lightning Charging Cable,1.0,14.95,2,20,Friday,New York City,14.95
Wired Headphones,1.0,11.99,2,17,Thursday,Boston,11.99
Wired Headphones,1.0,11.99,2,10,Wednesday,Los Angeles,11.99
Apple Airpods Headphones,1.0,150.0,2,2,Friday,New York City,150.0
AAA Batteries (4-pack),1.0,2.99,2,18,Tuesday,Los Angeles,2.99
Wired Headphones,1.0,11.99,2,9,Friday,Dallas,11.99
27in 4K Gaming Monitor,1.0,389.99,2,18,Sunday,Los Angeles,389.99
AA Batteries (4-pack),1.0,3.84,2,17,Monday,New York City,3.84
Google Phone,1.0,600.0,2,22,Sunday,Seattle,600.0
27in 4K Gaming Monitor,1.0,389.99,2,14,Thursday,New York City,389.99
Wired Headphones,1.0,11.99,2,14,Wednesday,New York City,11.99
AA Batteries (4-pack),1.0,3.84,2,15,Sunday,Atlanta,3.84
AA Batteries (4-pack),1.0,3.84,2,23,Wednesday,San Francisco,3.84
Wired Headphones,1.0,11.99,2,22,Friday,Los Angeles,11.99
34in Ultrawide Monitor,1.0,379.99,2,8,Tuesday,New York City,379.99
USB-C Charging Cable,2.0,11.95,2,16,Wednesday,Los Angeles,23.9
AA Batteries (4-pack),1.0,3.84,2,9,Sunday,New York City,3.84
Apple Airpods Headphones,1.0,150.0,2,23,Saturday,Austin,150.0
Apple Airpods Headphones,1.0,150.0,2,19,Wednesday,San Francisco,150.0
USB-C Charging Cable,1.0,11.95,2,20,Friday,Los Angeles,11.95
Wired Headphones,2.0,11.99,2,8,Thursday,Dallas,23.98
AA Batteries (4-pack),1.0,3.84,2,14,Friday,Austin,3.84
Lightning Charging Cable,1.0,14.95,2,11,Friday,New York City,14.95
AAA Batteries (4-pack),1.0,2.99,2,17,Sunday,New York City,2.99
USB-C Charging Cable,2.0,11.95,2,13,Wednesday,Portland,23.9
USB-C Charging Cable,1.0,11.95,2,19,Friday,Boston,11.95
Lightning Charging Cable,1.0,14.95,2,14,Friday,Boston,14.95
Bose SoundSport Headphones,1.0,99.99,2,17,Tuesday,Dallas,99.99
USB-C Charging Cable,1.0,11.95,2,18,Monday,New York City,11.95
AA Batteries (4-pack),3.0,3.84,2,21,Friday,San Francisco,11.52
USB-C Charging Cable,1.0,11.95,2,13,Thursday,Atlanta,11.95
ThinkPad Laptop,1.0,999.99,2,21,Tuesday,San Francisco,999.99
Bose SoundSport Headphones,1.0,99.99,2,8,Sunday,Los Angeles,99.99
AA Batteries (4-pack),1.0,3.84,2,11,Friday,Dallas,3.84
AA Batteries (4-pack),2.0,3.84,2,14,Saturday,Boston,7.68
Lightning Charging Cable,1.0,14.95,2,7,Saturday,Dallas,14.95
iPhone,1.0,700.0,2,23,Tuesday,Portland,700.0
Lightning Charging Cable,1.0,14.95,2,8,Saturday,Dallas,14.95
AAA Batteries (4-pack),3.0,2.99,2,18,Saturday,New York City,8.97
AA Batteries (4-pack),1.0,3.84,2,14,Thursday,Boston,3.84
iPhone,1.0,700.0,2,12,Wednesday,Portland,700.0
AA Batteries (4-pack),1.0,3.84,2,17,Wednesday,Dallas,3.84
USB-C Charging Cable,1.0,11.95,2,1,Monday,Boston,11.95
AA Batteries (4-pack),2.0,3.84,2,19,Monday,Austin,7.68
AAA Batteries (4-pack),2.0,2.99,2,11,Tuesday,Dallas,5.98
Apple Airpods Headphones,1.0,150.0,2,23,Saturday,Los Angeles,150.0
Wired Headphones,1.0,11.99,2,9,Sunday,Los Angeles,11.99
Lightning Charging Cable,1.0,14.95,2,20,Tuesday,Atlanta,14.95
ThinkPad Laptop,1.0,999.99,2,19,Tuesday,Dallas,999.99
Apple Airpods Headphones,1.0,150.0,2,10,Sunday,Austin,150.0
Google Phone,1.0,600.0,2,21,Tuesday,San Francisco,600.0
AA Batteries (4-pack),2.0,3.84,2,21,Tuesday,San Francisco,7.68
Lightning Charging Cable,1.0,14.95,2,17,Tuesday,New York City,14.95
AAA Batteries (4-pack),1.0,2.99,2,12,Friday,Dallas,2.99
iPhone,1.0,700.0,2,11,Friday,Boston,700.0
USB-C Charging Cable,1.0,11.95,2,16,Friday,Portland,11.95
27in 4K Gaming Monitor,1.0,389.99,2,13,Tuesday,Atlanta,389.99
AAA Batteries (4-pack),1.0,2.99,2,10,Saturday,San Francisco,2.99
USB-C Charging Cable,1.0,11.95,2,9,Tuesday,Boston,11.95
Lightning Charging Cable,1.0,14.95,2,11,Friday,Los Angeles,14.95
27in FHD Monitor,1.0,149.99,2,18,Friday,New York City,149.99
iPhone,1.0,700.0,2,8,Sunday,Los Angeles,700.0
USB-C Charging Cable,1.0,11.95,2,23,Monday,New York City,11.95
Lightning Charging Cable,1.0,14.95,2,11,Tuesday,New York City,14.95
Apple Airpods Headphones,1.0,150.0,2,10,Monday,Atlanta,150.0
Bose SoundSport Headphones,1.0,99.99,2,21,Sunday,Atlanta,99.99
Wired Headphones,1.0,11.99,2,21,Monday,San Francisco,11.99
ThinkPad Laptop,1.0,999.99,2,13,Sunday,New York City,999.99
Lightning Charging Cable,1.0,14.95,2,13,Sunday,New York City,14.95
Vareebadd Phone,1.0,400.0,2,19,Tuesday,Dallas,400.0
USB-C Charging Cable,2.0,11.95,2,19,Tuesday,Dallas,23.9
Flatscreen TV,1.0,300.0,2,14,Wednesday,Seattle,300.0
Bose SoundSport Headphones,1.0,99.99,2,20,Tuesday,Dallas,99.99
iPhone,1.0,700.0,2,14,Thursday,Los Angeles,700.0
Lightning Charging Cable,1.0,14.95,2,8,Monday,Boston,14.95
Macbook Pro Laptop,1.0,1700.0,2,9,Friday,Los Angeles,1700.0
AA Batteries (4-pack),1.0,3.84,2,16,Thursday,Dallas,3.84
Wired Headphones,3.0,11.99,2,23,Saturday,Atlanta,35.97
ThinkPad Laptop,1.0,999.99,2,15,Saturday,Dallas,999.99
Wired Headphones,1.0,11.99,2,16,Tuesday,New York City,11.99
Bose SoundSport Headphones,1.0,99.99,2,11,Wednesday,Los Angeles,99.99
Lightning Charging Cable,1.0,14.95,2,10,Sunday,San Francisco,14.95
AAA Batteries (4-pack),1.0,2.99,2,15,Wednesday,Seattle,2.99
AAA Batteries (4-pack),4.0,2.99,2,18,Tuesday,San Francisco,11.96
Apple Airpods Headphones,1.0,150.0,2,16,Tuesday,New York City,150.0
AA Batteries (4-pack),3.0,3.84,2,14,Friday,Los Angeles,11.52
Apple Airpods Headphones,1.0,150.0,2,10,Wednesday,Austin,150.0
USB-C Charging Cable,1.0,11.95,2,11,Tuesday,New York City,11.95
Bose SoundSport Headphones,1.0,99.99,2,14,Friday,Atlanta,99.99
Wired Headphones,1.0,11.99,2,21,Monday,New York City,11.99
Flatscreen TV,1.0,300.0,2,22,Tuesday,Atlanta,300.0
Lightning Charging Cable,1.0,14.95,2,0,Monday,New York City,14.95
USB-C Charging Cable,1.0,11.95,2,13,Friday,San Francisco,11.95
Bose SoundSport Headphones,1.0,99.99,2,13,Friday,Boston,99.99
Wired Headphones,1.0,11.99,2,19,Monday,San Francisco,11.99
USB-C Charging Cable,1.0,11.95,2,19,Saturday,Seattle,11.95
Lightning Charging Cable,1.0,14.95,2,20,Monday,Los Angeles,14.95
AA Batteries (4-pack),3.0,3.84,2,22,Saturday,Atlanta,11.52
AAA Batteries (4-pack),1.0,2.99,2,9,Wednesday,Dallas,2.99
Apple Airpods Headphones,1.0,150.0,2,22,Saturday,San Francisco,150.0
Lightning Charging Cable,1.0,14.95,2,20,Saturday,Dallas,14.95
27in FHD Monitor,1.0,149.99,2,11,Sunday,New York City,149.99
